0,1
1,1
2,2
3,1
4,4
5,3
6,3
7,2
8,5
9,2
10,9
11,4
12,6
13,13
14,5
15,3
16,4
17,13
18,11
19,7
20,12
21,8
22,7
23,16
24,16
25,13
26,15
27,10
28,17
29,9
30,21
31,18
32,23
33,19
34,13
35,21
36,16
37,17
38,20
39,18
40,29
41,25
42,16
43,13
44,16
45,20
46,14
47,27
48,16
49,16
50,24
51,26
52,25
53,20
54,26
55,22
56,15
57,18
58,22
59,14
60,27
61,23
62,17
63,20
64,15
65,16
66,32
67,27
68,20
69,19
70,17
71,23
72,24
73,20
74,13
75,16
76,22
77,12
78,19
79,19
80,19
81,17
82,29
83,30
84,13
85,19
86,14
87,11
88,16
89,12
90,12
91,17
92,14
93,21
94,15
95,9
96,20
97,14
98,11
99,12
100,15
101,15
102,17
103,16
104,10
105,14
106,16
107,12
108,12
109,14
110,12
111,7
112,10
113,14
114,12
115,10
116,10
117,12
118,7
119,10
120,6
121,9
122,6
123,6
124,5
125,6
126,5
127,7
128,2
129,10
130,6
131,8
132,6
133,6
134,2
135,5
136,8
137,4
138,9
139,1
141,5
142,6
143,5
144,4
145,2
146,2
147,2
148,3
149,4
150,4
151,4
152,3
153,5
154,3
155,3
156,3
157,2
159,1
160,3
161,2
162,2
163,1
164,2
165,1
166,4
169,1
170,1
172,1
174,3
175,1
178,1
179,1
181,1
182,1
185,1
186,2
189,3
198,1
202,1
220,1
222,1
